project,organization,location,recording_date,recording_time,status,latitude,longitude,buffer_radius_m,species_code,scientific_name,species_english_name,method,rain,wind,noise,industry_noise,audio_quality,species_individual_name,transcriber,abundance,confidence,min0_voc,min0_start,min1_voc,min1_start,min2_voc,min2_start,min3_voc,min3_start,min4_voc,min4_start,min5_voc,min5_start,min6_voc,min6_start,min7_voc,min7_start,min8_voc,min8_start,min9_voc,min9_start,comment,species_comment,source_file_name
Big Grids 2015,BU,BG-4-12,2015-05-25,05:00:00,Transcribed,55.439680,-110.888489,,CHSP,Spizella passerina,Chipping Sparrow,3m1SPM+7mVS,0,0,0,0,No audio quality issues,1,Natalie Sanchez,ONE,Confident,,,,,Song,52.5,,,,,,,,,,,,,,,,,BG-0004-012_20150525_050000.wac
Big Grids 2015,BU,BG-4-12,2015-05-25,05:00:00,Transcribed,55.439680,-110.888489,,DEJU,Junco hyemalis,Dark-eyed Junco,3m1SPM+7mVS,0,0,0,0,No audio quality issues,1,Natalie Sanchez,ONE,Confident,Song,0.5,Song,0.5,Song,3.5,,,,,,,,,,,,,,,,,BG-0004-012_20150525_050000.wac
Big Grids 2015,BU,BG-4-12,2015-05-25,05:00:00,Transcribed,55.439680,-110.888489,,GRAJ,Perisoreus canadensis,Gray Jay,3m1SPM+7mVS,0,0,0,0,No audio quality issues,1,Natalie Sanchez,ONE,Confident,,,,,Call,28.5,,,,,,,,,,,,,,,,,BG-0004-012_20150525_050000.wac
Big Grids 2015,BU,BG-4-12,2015-05-25,05:00:00,Transcribed,55.439680,-110.888489,,RCKI,Regulus calendula,Ruby-crowned Kinglet,3m1SPM+7mVS,0,0,0,0,No audio quality issues,1,Natalie Sanchez,ONE,Confident,Song,55.5,Song,0.5,Song,0.5,,,,,,,,,,,,,,,,,BG-0004-012_20150525_050000.wac
Big Grids 2015,BU,BG-4-12,2015-05-25,05:00:00,Transcribed,55.439680,-110.888489,,UNKN, ,Unknown,3m1SPM+7mVS,0,0,0,0,No audio quality issues,1,Natalie Sanchez,ONE,To Be Checked,Call,38.5,,,,,,,,,,,,,,,,,,,,,BG-0004-012_20150525_050000.wac
Big Grids 2015,BU,BG-4-12,2015-05-25,05:00:00,Transcribed,55.439680,-110.888489,,UNPA, ,Unknown Passerine,3m1SPM+7mVS,0,0,0,0,No audio quality issues,1,Natalie Sanchez,ONE,Unknown far,Song,9.5,Song,38.5,,,,,,,,,,,,,,,,,,,BG-0004-012_20150525_050000.wac
Big Grids 2015,BU,BG-4-12,2015-05-25,05:00:00,Transcribed,55.439680,-110.888489,,UNPA, ,Unknown Passerine,3m1SPM+7mVS,0,0,0,0,No audio quality issues,2,Natalie Sanchez,ONE,Confident,,,Call,30.5,,,,,,,,,,,,,,,,,,,BG-0004-012_20150525_050000.wac
Big Grids 2015,BU,BG-4-12,2015-05-25,05:00:00,Transcribed,55.439680,-110.888489,,WISN,Gallinago delicata,Wilson's Snipe,3m1SPM+7mVS,0,0,0,0,No audio quality issues,1,Natalie Sanchez,ONE,Confident,Non-vocal,7.5,Non-vocal,2.5,Non-vocal,6.5,,,,,,,,,,,,,,,,,BG-0004-012_20150525_050000.wac
Big Grids 2015,BU,BG-4-4,2015-05-25,05:00:00,Transcribed,55.433704,-110.870047,,BBWA,Setophaga castanea,Bay-breasted Warbler,3m1SPM+7mVS,0,0,0,1,No audio quality issues,1,Nicole Boucher,ONE,Confident,,,,,,,Song,20.5,,,,,,,,,,,,,,,BG-0004-004_20150525_050000.wac
Big Grids 2015,BU,BG-4-4,2015-05-25,05:00:00,Transcribed,55.433704,-110.870047,,BOCH,Poecile hudsonicus,Boreal Chickadee,3m1SPM+7mVS,0,0,0,1,No audio quality issues,1,Nicole Boucher,ONE,Confident,,,Call,57.5,,,,,,,,,,,,,,,,,,,BG-0004-004_20150525_050000.wac
Big Grids 2015,BU,BG-4-4,2015-05-25,05:00:00,Transcribed,55.433704,-110.870047,,CHSP,Spizella passerina,Chipping Sparrow,3m1SPM+7mVS,0,0,0,1,No audio quality issues,1,Nicole Boucher,ONE,Confident,,,Song,14.5,Song,3.5,,,,,,,,,,,,,,,,,BG-0004-004_20150525_050000.wac
